Категория;Позиция;Ед. заказа (для сотрудника);Фасовка / вес (подпись для учёта);Цена за ед., ₽
Овощи;Баклажан;кг;1 кг;278
Овощи;Батат;кг;1 кг;470
Овощи;Батат фри;пакет;2,5 кг;1078,54
Овощи;Вяленые томаты;банка;0,98 л;533,6
Овощи;Дайкон маринованный;упаковка;0,5 кг;200
Овощи;Имбирь маринованный;кг;1 кг;164
Овощи;Имбирь свежий;кг;0,1 кг;49,5
Овощи;Каперсы;банка;0,5 кг;1250
Овощи;Капуста белокочанная;кочан;1,5 кг;72
Овощи;Капуста красная;кочан;1,5 кг;165
Овощи;Картофель;кг;1 кг;35
Овощи;Криспи лук;кг;1 кг;500
Овощи;Лук репчатый;кг;1 кг;40
Овощи;Маслины;банка;0,3 л;98
Овощи;Морковь;кг;1 кг;48
Овощи;Огурцы;кг;1 кг;180
Овощи;Оливки;банка;0,3 л;105
Овощи;Перец болгарский;кг;1 кг;260
Овощи;Перец чили;кг;1 кг;1000
Овощи;Редис;кг;1 кг;230
Овощи;Сельдерей;пучок;0,2 кг;46
Овощи;Томаты розовые;кг;1 кг;380
Овощи;Хрен корень;кг;0,1 кг;300
Овощи;Цукини;кг;1 кг;390
Овощи;Черри помидоры;кг;1 кг;600
Овощи;Чеснок;кг;1 кг;300
Овощи;Чукка;кг;1 кг;218
Овощи;Бобы Эдамаме;кг;1 кг;520
Овощи;Лук красный;кг;1 кг;80
Овощи;Свекла;кг;1 кг;35
Овощи;Авокадо;шт;0,2 кг;104
Овощи;Ананас;шт;1,2 кг;480
Овощи;Базилик;пучок;0,05 кг;140
Овощи;Брокколи;кг;1 кг;480
Овощи;Горох консервированный;банка;0,4 кг;80
Овощи;Горох сухой;кг;1 кг;100
Овощи;Греча зеленая;кг;1 кг;330
Овощи;Гриб белый (заморозка);кг;1 кг;793
Овощи;Гриб Лисички (заморозка);кг;1 кг;825
Овощи;Грибы древесные Муэр;пачка;0,5 кг;1160
Овощи;Грибы еноки;упаковка;0,1 кг;
Овощи;Грибы цау гу;банка;0,4 кг;264
Овощи;Грузди маринованные;банка;0,5 кг;300
Овощи;Капуста квашеная;кг;1 кг;163
Овощи;Капуста цветная;кг;1 кг;230
Овощи;Картофель бейби;кг;1 кг;110
Овощи;Картофель фри;пакет;2,5 кг;435
Овощи;Клубника (заморозка);кг;1 кг;195
Овощи;Клубника свежая;кг;1 кг;700
Овощи;Клюква (заморозка);кг;1 кг;445
Овощи;Кукуруза в вакууме;шт;0,3 кг;140
Овощи;Лук зеленый;пучок;0,1 кг;38
Овощи;Лук порей;пучок;0,3 кг;144
Овощи;Малина (заморозка);кг;1 кг;420
Овощи;Нут;кг;1 кг;341
Овощи;Огурцы корнишоны;банка;0,72 л;178
Овощи;Оливки гигантские;банка;0,42 кг;426
Овощи;Пекинская капуста;кочан;0,8 кг;80
Овощи;Рамиро;шт;0,15 кг;39
Овощи;Рис Рубин (красный);кг;1 кг;180
Овощи;Тыква;кг;1 кг;155
Овощи;Черная смородина (заморозка);кг;1 кг;590
Овощи;Чечевица;кг;1 кг;63
Соусы / бакалея / масла;Паста Том Ям;банка;0,2 кг;300
Соусы / бакалея / масла;Соус Сладкий чили;л;1 л;360
Соусы / бакалея / масла;Томатная паста;банка;0,5 кг;190
Соусы / бакалея / масла;Фасоль консервированная;банка;0,4 кг;52
Соусы / бакалея / масла;Халапеньо;кг;1 кг;550
Соусы / бакалея / масла;Чеснок сухой;кг;1 кг;675
Соусы / бакалея / масла;Ворчестер;банка;0,2 л;95
Соусы / бакалея / масла;Горчица дижонская;банка;0,2 кг;200
Соусы / бакалея / масла;Горчица зернистая;банка;0,2 кг;200
Соусы / бакалея / масла;Жидкий дым;банка;0,33 л;136,6
Соусы / бакалея / масла;Кетчуп;бутылка;0,8 кг;203
Соусы / бакалея / масла;Крахмал кукурузный;кг;1 кг;134
Соусы / бакалея / масла;Майонез фасовка;пакет;3 кг;500
Соусы / бакалея / масла;Масло растительное;л;1 л;115
Соусы / бакалея / масла;Масло фритюрное;л;5 л;725
Соусы / бакалея / масла;Мед;л;0,5 л;157
Соусы / бакалея / масла;Наршараб;банка;0,3 кг;87
Соусы / бакалея / масла;Оливковое масло;бутылка;1 л;440
Соусы / бакалея / масла;Паприка копчёная;кг;1 кг;1279
Соусы / бакалея / масла;Печенье шоколадное;пачка;0,4 кг;140
Соусы / бакалея / масла;Печенье Юбилейное;пачка;0,4 кг;140
Соусы / бакалея / масла;Пудра сахарная;кг;1 кг;116
Соусы / бакалея / масла;Сахар;кг;1 кг;80
Соусы / бакалея / масла;Соевый соус;л;1 л;89
Соусы / бакалея / масла;Соль;кг;1 кг;29
Соусы / бакалея / масла;Унаги;бутылка;1 л;300
Соусы / бакалея / масла;Устричный соус;л;1 л;300
Соусы / бакалея / масла;Шрирача;бутылка;1 л;450
Соусы / бакалея / масла;Орехово-кунжутный соус;бутылка;1 л;500
Соусы / бакалея / масла;Паста Карри;кг;1 кг;750
Соусы / бакалея / масла;Паста соевая;кг;1 кг;258
Молочные / сыры / яйца;Сыр Камамбер;головка;0,125 кг;210
Молочные / сыры / яйца;Масло сливочное;пачка;0,2 кг;217
Молочные / сыры / яйца;Молоко;л;1 л;90
Молочные / сыры / яйца;Молоко кокосовое;л;1 л;171
Молочные / сыры / яйца;Молоко миндальное;л;1 л;116
Молочные / сыры / яйца;Мон Блю;упаковка;1,8 кг;2343
Молочные / сыры / яйца;Моцарелла для пиццы;палка;0,2 кг;135
Молочные / сыры / яйца;Моцарелла рассольная;пакет;0,1 кг;63
Молочные / сыры / яйца;Пармезан;головка;4 кг;3880
Молочные / сыры / яйца;Ряженка;л;0,5 л;55
Молочные / сыры / яйца;Сгущёнка;банка;0,5 кг;146
Молочные / сыры / яйца;Сливки 10%;л;0,5 л;113
Молочные / сыры / яйца;Сливки 22%;л;1 л;424
Молочные / сыры / яйца;Сливки 33%;л;1 л;514
Молочные / сыры / яйца;Сметана;кг;1 кг;226
Молочные / сыры / яйца;Страчателла;банка;0,2 кг;368
Молочные / сыры / яйца;Сулугуни;палка;0,3 кг;174
