Категория;Позиция;Ед. заказа (для сотрудника);Фасовка / вес (подпись для учёта);Цена за ед., ₽
Овощи;Баклажан;кг;;
Овощи;Батат;кг;;
Овощи;Батат фри;уп/пакет;;
Овощи;Вяленые томаты;банка;;
Овощи;Вяленые томаты;кг;;
Овощи;Дайкон маринованный;палка;;
Овощи;Имбирь маринованный;кг;;
Овощи;Имбирь свежий;кг;;
Овощи;Каперсы;банка;;
Овощи;Капуста белокочанная;кочан;;
Овощи;Капуста красная;кочан;;
Овощи;Картофель;кг;;
Овощи;Криспи лук;кг;;
Овощи;Лук репчатый;кг;;
Овощи;Маслины;банка;;
Овощи;Морковь;кг;;
Овощи;Огурцы;кг;;
Овощи;Оливки;банка;;
Овощи;Перец болгарский;кг;;
Овощи;Перец чили;шт;;
Овощи;Редис;кг;;
Овощи;Сельдерей;шт;;
Овощи;Томаты розовые;кг;;
Овощи;Хрен;кг;;
Овощи;Цукини;кг;;
Овощи;Черри;кг;;
Овощи;Чеснок;кг;;
Овощи;Чукка;кг;;
Овощи;Эдамаме;кг;;
Овощи;Лук красный;кг;;
Овощи;Огурцы;кг;;
Овощи;Свекла;кг;;
Соусы / бакалея / масла;Паста Том Ям;шт;;
Соусы / бакалея / масла;Соус Сладкий чили;л;;
Соусы / бакалея / масла;Томатная паста;банка;;
Соусы / бакалея / масла;Фасоль консервированная;банка;;
Соусы / бакалея / масла;Халапеньо;уп;;
Соусы / бакалея / масла;Чеснок сухой;кг;;
Соусы / бакалея / масла;Ворчестер;шт;;
Соусы / бакалея / масла;Горчица дижонская;шт;;
Соусы / бакалея / масла;Горчица зернистая;шт;;
Соусы / бакалея / масла;Жидкий дым;банка;;
Соусы / бакалея / масла;Кетчуп;шт;;
Соусы / бакалея / масла;Крахмал кукурузный;кг;;
Соусы / бакалея / масла;Майонез;кг;;
Соусы / бакалея / масла;Масло растительное / подсолнечное;л;;
Соусы / бакалея / масла;Масло фритюрное;л;;
Соусы / бакалея / масла;Мед;л;;
Соусы / бакалея / масла;Наршараб;банка;;
Соусы / бакалея / масла;Оливковое масло;бутылка;;
Соусы / бакалея / масла;Паприка копчёная;пакет;;
Соусы / бакалея / масла;Печенье шоколадное (для земли);шт;;
Соусы / бакалея / масла;Печенье Юбилейное (для картошки);шт;;
Соусы / бакалея / масла;Пудра сахарная;кг;;
Соусы / бакалея / масла;Сахар;кг;;
Соусы / бакалея / масла;Соевый соус;л;;
Соусы / бакалея / масла;Соль;кг;;
Соусы / бакалея / масла;Унаги;л;;
Соусы / бакалея / масла;Устричный соус;л;;
Соусы / бакалея / масла;Шрирача;бутылка;;
Соусы / бакалея / масла;Ореховый / орехово-кунжутный соус;л;;
Молочные / сыры / яйца;Камамбер;шт;;
Молочные / сыры / яйца;Креметта;шт/шайба;;
Молочные / сыры / яйца;Масло сливочное;кг;;
Молочные / сыры / яйца;Молоко;л;;
Молочные / сыры / яйца;Молоко кокосовое;л;;
Молочные / сыры / яйца;Молоко миндальное;л;;
Молочные / сыры / яйца;Мон Блю;уп;;
Молочные / сыры / яйца;Моцарелла для пиццы;палка;;
Молочные / сыры / яйца;Моцарелла рассольная;кг;;
Молочные / сыры / яйца;Пармезан;кг;;
Молочные / сыры / яйца;Ряженка;л;;
Молочные / сыры / яйца;Сгущёнка;банка;;
Молочные / сыры / яйца;Сливки 10%;л;;
Молочные / сыры / яйца;Сливки 22%;л;;
Молочные / сыры / яйца;Сливки 33%;л;;
Молочные / сыры / яйца;Сметана;кг;;
Молочные / сыры / яйца;Страчателла;банка;;
Молочные / сыры / яйца;Сулугуни;палка;;
Молочные / сыры / яйца;Сыр;кг;;
Молочные / сыры / яйца;Фетакса;уп;;
Молочные / сыры / яйца;Чеддер слайсы;уп;;
Молочные / сыры / яйца;Яйца куриные;уп;;
Зелень;Айсберг;шт;;
Зелень;Вешенки;кг;;
Зелень;Виноград;кг;;
Зелень;Картофель;кг;;
Зелень;Кинза;уп;;
Зелень;Мята;уп;;
Зелень;Петрушка;уп;;
Зелень;Розмарин;уп;;
Зелень;Тимьян;уп;;
Зелень;Укроп;уп;;
Зелень;Микс салат;уп;;
Зелень;Романо;шт;;
Алкоголь;Водка Белая Берёзка 40%;л;;
Алкоголь;Джин Barrister Dry 40% 1 л;л;;
Алкоголь;Пиво Б\А;шт;;
Алкоголь;Пиво Лагер;шт;;
Алкоголь;Пиво Пшеничное;шт;;
Алкоголь;Пиво безалкогольное;л;;
Алкоголь;Ром Higuana Silver 38% 0,7 л;шт;;
Алкоголь;Сидр яблочный;шт;;
Консервация / закуски;Огурцы соленые;банка;;
Консервация / закуски;Ананасы консервированные;шт;;
Консервация / закуски;Кетчуп;уп;;
Консервация / закуски;Кукуруза вакуум;уп;;
Консервация / закуски;Кукуруза консервированная;банка;;
Консервация / закуски;Макароны;кг;;
Консервация / закуски;Манго консервированное;л;;
Консервация / закуски;Мед;кг;;
Консервация / закуски;Наршараб;кг;;
Консервация / закуски;Оливки / маслины;л;;
Консервация / закуски;Персики консервированные;л;;
Консервация / закуски;Тортильи / лепёшки;кг;;
Консервация / закуски;Уксус;л;;
Консервация / закуски;Халва;кг;;
Напитки;Вода газированная;л;;
Напитки;Вода негазированная;л;;
Напитки;Квас;л;;
Напитки;Кола;л;;
Напитки;Кофе;кг;;
Напитки;Сок Яблочный;л;;
Напитки;Сок Вишневый;л;;
Напитки;Сок томатный;л;;
Напитки;Тоник;л;;
Напитки;Чай чёрный;кг;;
Гарниры / хлеб / заморозка;Булгур;кг;;
Гарниры / хлеб / заморозка;Булки бургер / бриошь;коробка;;
Гарниры / хлеб / заморозка;Киноа;кг;;
Гарниры / хлеб / заморозка;Лепешки роти;коробка;;
Гарниры / хлеб / заморозка;Мука;кг;;
Гарниры / хлеб / заморозка;Облепиха замороженная;кг;;
Гарниры / хлеб / заморозка;Панко сухари;уп;;
Гарниры / хлеб / заморозка;Рис бурый;кг;;
Гарниры / хлеб / заморозка;Рис жасмин;уп;;
Мясо / птица / рыба;Анчоусы;банка;;
Мясо / птица / рыба;Бекон;кг;;
Мясо / птица / рыба;Гребешок;уп;;
Мясо / птица / рыба;Колбаса Сервелат;шт;;
Мясо / птица / рыба;Колбаса варёная;шт;;
Мясо / птица / рыба;Креветки;блок;;
Мясо / птица / рыба;Куриное филе;кг;;
Мясо / птица / рыба;Курица тушка;кг;;
Мясо / птица / рыба;Мачете;кг;;
Мясо / птица / рыба;Ребрышки свиные;кг;;
Мясо / птица / рыба;Тунец свежий;кг;;
Мясо / птица / рыба;Фарш мраморный;кг;;
Орехи / семечки;Грецкий орех;кг;;
Орехи / семечки;Кедровые орехи;кг;;
Орехи / семечки;Кешью;кг;;
Орехи / семечки;Миндаль;кг;;
Орехи / семечки;Тыквенные семечки;кг;;
Фрукты;Апельсины;кг;;
Фрукты;Лайм;кг;;
Фрукты;Лимоны;кг;;
Фрукты;Яблоки;кг;;
Фрукты;Авокадо;кг;;
Фрукты;Гранат;шт;;
Фрукты;Грейпфрут;шт;;
Фрукты;Груша конференция;кг;;
Фрукты;Лимон;кг;;
Салаты / грибы;Вешенки;уп;;
Салаты / грибы;Шампиньоны;кг;;
